,anio_mes,date,alimentación saludable,productos orgánicos,veganismo,sin TACC,café de especialidad
0,2021-08,2021-08-15 00:00:00,5.0,0.0,3.0,56.4,0.0
1,2021-09,2021-09-15 12:00:00,4.75,0.0,3.0,51.0,0.5
2,2021-10,2021-10-17 00:00:00,7.0,0.0,4.6,47.2,0.0
3,2021-11,2021-11-17 12:00:00,8.0,0.0,3.25,48.5,0.0
4,2021-12,2021-12-15 12:00:00,1.75,0.0,1.75,53.75,0.0
5,2022-01,2022-01-16 00:00:00,1.4,0.0,1.4,53.8,0.0
6,2022-02,2022-02-16 12:00:00,2.75,0.0,1.25,58.75,0.0
7,2022-03,2022-03-16 12:00:00,5.0,0.0,2.0,57.75,0.0
8,2022-04,2022-04-13 12:00:00,6.25,0.0,3.0,65.75,0.0
9,2022-05,2022-05-15 00:00:00,5.8,0.0,2.0,66.0,0.0
10,2022-06,2022-06-15 12:00:00,6.25,0.0,2.25,70.0,0.0
11,2022-07,2022-07-17 00:00:00,4.2,0.0,1.8,68.8,0.0
12,2022-08,2022-08-17 12:00:00,6.5,0.0,2.25,70.25,0.0
13,2022-09,2022-09-14 12:00:00,6.75,0.0,2.0,64.75,0.0
14,2022-10,2022-10-16 00:00:00,8.0,0.0,4.2,64.2,0.0
15,2022-11,2022-11-16 12:00:00,7.5,0.0,2.25,56.75,0.0
16,2022-12,2022-12-14 12:00:00,1.75,0.0,0.75,62.0,0.0
17,2023-01,2023-01-15 00:00:00,1.6,0.0,0.8,67.0,0.0
18,2023-02,2023-02-15 12:00:00,2.5,0.0,0.5,66.75,0.0
19,2023-03,2023-03-15 12:00:00,4.25,0.0,1.75,67.75,0.25
20,2023-04,2023-04-16 00:00:00,5.2,0.0,1.8,79.0,0.4
21,2023-05,2023-05-17 12:00:00,7.0,0.25,2.0,80.75,0.25
22,2023-06,2023-06-14 12:00:00,6.75,0.0,1.5,82.75,0.5
23,2023-07,2023-07-16 00:00:00,3.6,0.0,1.2,78.0,0.6
24,2023-08,2023-08-16 12:00:00,5.25,0.0,1.5,77.25,0.5
25,2023-09,2023-09-13 12:00:00,5.5,0.0,1.75,80.25,0.25
26,2023-10,2023-10-15 00:00:00,6.6,0.2,2.4,69.8,0.4
27,2023-11,2023-11-15 12:00:00,6.0,0.0,1.0,67.5,0.75
28,2023-12,2023-12-17 00:00:00,1.4,0.0,0.2,79.0,0.6
29,2024-01,2024-01-17 12:00:00,0.75,0.0,0.25,80.0,0.25
30,2024-02,2024-02-14 12:00:00,2.0,0.0,0.0,71.0,0.5
31,2024-03,2024-03-17 00:00:00,2.8,0.0,0.0,75.8,0.8
32,2024-04,2024-04-17 12:00:00,3.75,0.0,1.0,76.0,0.5
33,2024-05,2024-05-15 12:00:00,4.5,0.0,0.25,81.25,1.0
34,2024-06,2024-06-16 00:00:00,4.8,0.0,0.0,77.6,1.6
35,2024-07,2024-07-17 12:00:00,2.5,0.0,0.0,82.5,1.75
36,2024-08,2024-08-14 12:00:00,4.25,0.0,1.0,78.0,1.25
37,2024-09,2024-09-15 00:00:00,4.6,0.0,1.0,75.8,1.0
38,2024-10,2024-10-16 12:00:00,6.25,0.0,1.25,74.75,1.0
39,2024-11,2024-11-13 12:00:00,5.5,0.0,0.25,70.25,0.5
40,2024-12,2024-12-15 00:00:00,1.4,0.0,0.0,80.2,0.4
41,2025-01,2025-01-15 12:00:00,0.5,0.0,0.0,79.5,0.0
42,2025-02,2025-02-12 12:00:00,1.0,0.0,0.0,71.0,0.0
43,2025-03,2025-03-16 00:00:00,3.2,0.0,0.2,74.0,0.8
44,2025-04,2025-04-16 12:00:00,3.75,0.0,0.0,82.25,0.0
45,2025-05,2025-05-14 12:00:00,4.5,0.0,0.0,75.75,1.5
46,2025-06,2025-06-15 00:00:00,4.4,0.0,0.0,79.6,2.0
47,2025-07,2025-07-16 12:00:00,2.0,0.0,0.0,87.75,2.5
48,2025-08,2025-08-17 00:00:00,3.8,0.2,0.0,83.6,1.8
49,2025-09,2025-09-17 12:00:00,3.5,0.0,0.5,80.25,1.75
50,2025-10,2025-10-15 12:00:00,4.75,0.0,0.75,79.5,2.25
51,2025-11,2025-11-16 00:00:00,4.4,0.0,0.0,74.0,2.0
52,2025-12,2025-12-17 12:00:00,0.25,0.0,0.0,79.25,1.75
53,2026-01,2026-01-14 12:00:00,0.5,0.0,0.0,77.25,2.25
54,2026-02,2026-02-11 12:00:00,1.0,0.0,0.0,72.25,2.0
55,2026-03,2026-03-15 00:00:00,2.4,0.0,0.0,74.6,2.6
56,2026-04,2026-04-15 12:00:00,3.0,0.25,0.25,71.25,2.75
57,2026-05,2026-05-17 00:00:00,3.8,0.0,0.0,72.2,2.2
58,2026-06,2026-06-17 12:00:00,3.25,0.0,0.0,65.25,2.25
59,2026-07,2026-07-15 12:00:00,1.25,0.0,0.0,70.75,2.5
60,2026-08,2026-08-02 00:00:00,2.0,0.0,0.0,62.0,2.0
