long;lat;id;nombre;categoria;cocina;ambientacion;telefono;mail;horario;calle_nombre;calle_altura;calle_cruce;direccion_completa;barrio;comuna;codigo_postal;codigo_postal_argentino
-58.36330675;-34.62296347;1602;GUANTANAMERA;RESTAURANTE;CUBANA;MODERNO;4314 0770;N/A;NO ESPECIFICADA;MOREAU DE JUSTO ALICIA;2092;N/A;MOREAU DE JUSTO, ALICIA AV. 2092;Puerto Madero;1;1107.0;C1107AFP
-58.39232963;-34.62155353;676;1843 VINACOTECA;VINERIA;GASTRONOMIA GENERAL;GENERAL;4779 0806;N/A;lunes a domingo de 8 a 00;HUMBERTO PRIMO;1843;N/A;HUMBERTO 1� 1843;San Cristobal;3;;CnanXXX
-58.45354227;-34.56031135;487;2080 EXPRESS;RESTAURANTE;TRADICIONAL;CLASICO PORTENIO;4788 4500;N/A;lunes a domingo de 8 a 00;JURAMENTO;2080;N/A;JURAMENTO AV. 2080;Belgrano;13;1428.0;C1428DNH
-58.47549105;-34.6770507;2737;22;CAFE;MINUTAS;MODERNO;NO DISPONIBLE;N/A;NO ESPECIFICADA;MURGUIONDO;4188;N/A;MURGUIONDO 4188;Villa Lugano;8;1439.0;C1439FTB
-58.4254372;-34.58569501;2;4 EN 2 I;RESTAURANTE;GASTRONOMIA GENERAL;GENERAL;4832 9510;N/A;NO ESPECIFICADA;BORGES JORGE LUIS;2095;N/A;BORGES, JORGE LUIS 2095;Palermo;14;1425.0;C1425FFA
-58.42226235;-34.5718432;3;4 X 4 CAFE;BAR;MINUTAS;GENERAL;4776 6000;info@4x4cafe.com;NO ESPECIFICADA;DEL LIBERTADOR;3838;N/A;DEL LIBERTADOR AV. 3838;Palermo;14;1425.0;C1425ABY
-58.37830939;-34.60479665;2091;5TA AVENIDA;RESTAURANTE;MINUTAS;MODERNO;4394 5611;N/A;lunes a viernes de 7.30 a 19;SARMIENTO;814;N/A;SARMIENTO 814;San Nicolas;1;1041.0;C1041AAR
-58.37196216;-34.6042924;2093;5TA AVENIDA I;RESTAURANTE;MINUTAS;MODERNO;4325 2960;N/A;lunes a viernes de 6 a 20;SARMIENTO;381;N/A;SARMIENTO 381;San Nicolas;1;1041.0;C1041AAG
-58.44710401;-34.59755471;2655;5TA ZONA;OTROS;PARRILLA;CLASICO PORTENIO;4855 4001;N/A;NO ESPECIFICADA;MURILLO;1049;N/A;MURILLO 1049;Villa Crespo;15;1414.0;C1414AFK
-58.37407685;-34.60037768;2092;650;RESTAURANTE;FUSION;MODERNO;4313 9650;seisso@seisso.com.ar;NO ESPECIFICADA;SAN MARTIN;650;N/A;SAN MARTIN 650;San Nicolas;1;1004.0;C1004AAN
-58.39429579;-34.59470348;1636;788 FOODBAR;RESTAURANTE;MEDITERRANEA;MODERNO;4814 4788;www.788foodbar.com.ar;NO ESPECIFICADA;ARENALES;1877;N/A;ARENALES 1877;Recoleta;2;1124.0;C1124AAA
-58.43943176;-34.58330514;5;7 SEVEN;RESTAURANTE;PORTEÑA;RUSTICA;4770 9698;N/A;NO ESPECIFICADA;GORRITI;5802;N/A;GORRITI 5802;Palermo;14;1414.0;C1414BKJ
