date,alimentación saludable,productos orgánicos,veganismo,sin TACC,café de especialidad
2021-08-01,5,0,2,57,0
2021-08-08,4,0,3,55,0
2021-08-15,4,0,3,57,0
2021-08-22,6,0,4,58,0
2021-08-29,6,0,3,55,0
2021-09-05,4,0,3,49,0
2021-09-12,5,0,3,51,0
2021-09-19,4,0,3,53,0
2021-09-26,6,0,3,51,2
2021-10-03,6,0,3,48,0
2021-10-10,7,0,3,54,0
2021-10-17,7,0,3,43,0
2021-10-24,9,0,4,48,0
2021-10-31,6,0,10,43,0
2021-11-07,9,0,5,49,0
2021-11-14,9,0,3,50,0
2021-11-21,9,0,3,49,0
2021-11-28,5,0,2,46,0
2021-12-05,3,0,2,48,0
2021-12-12,3,0,2,53,0
2021-12-19,0,0,2,61,0
2021-12-26,1,0,1,53,0
2022-01-02,1,0,2,52,0
2022-01-09,2,0,3,48,0
2022-01-16,2,0,1,54,0
2022-01-23,2,0,1,57,0
2022-01-30,0,0,0,58,0
2022-02-06,2,0,1,63,0
2022-02-13,3,0,1,59,0
2022-02-20,4,0,1,54,0
2022-02-27,2,0,2,59,0
2022-03-06,4,0,2,54,0
2022-03-13,5,0,2,51,0
2022-03-20,6,0,2,65,0
2022-03-27,5,0,2,61,0
2022-04-03,8,0,3,62,0
2022-04-10,5,0,2,83,0
2022-04-17,6,0,5,60,0
2022-04-24,6,0,2,58,0
2022-05-01,6,0,2,64,0
2022-05-08,6,0,2,59,0
2022-05-15,4,0,2,68,0
2022-05-22,6,0,2,74,0
2022-05-29,7,0,2,65,0
2022-06-05,6,0,2,59,0
2022-06-12,6,0,3,69,0
2022-06-19,6,0,2,75,0
2022-06-26,7,0,2,77,0
2022-07-03,7,0,2,58,0
2022-07-10,4,0,1,69,0
2022-07-17,1,0,2,77,0
2022-07-24,4,0,2,75,0
2022-07-31,5,0,2,65,0
2022-08-07,5,0,2,71,0
2022-08-14,6,0,2,76,0
2022-08-21,7,0,3,68,0
2022-08-28,8,0,2,66,0
2022-09-04,6,0,2,59,0
2022-09-11,7,0,1,67,0
2022-09-18,6,0,2,66,0
2022-09-25,8,0,3,67,0
2022-10-02,7,0,3,61,0
2022-10-09,7,0,3,75,0
2022-10-16,8,0,3,61,0
2022-10-23,9,0,3,63,0
2022-10-30,9,0,9,61,0
2022-11-06,8,0,3,61,0
2022-11-13,10,0,3,63,0
2022-11-20,6,0,2,54,0
2022-11-27,6,0,1,49,0
2022-12-04,3,0,0,52,0
2022-12-11,3,0,2,54,0
2022-12-18,1,0,0,72,0
2022-12-25,0,0,1,70,0
2023-01-01,1,0,0,58,0
2023-01-08,2,0,1,64,0
2023-01-15,1,0,1,65,0
2023-01-22,2,0,0,76,0
2023-01-29,2,0,2,72,0
2023-02-05,2,0,0,69,0
2023-02-12,2,0,1,73,0
2023-02-19,3,0,1,68,0
2023-02-26,3,0,0,57,0
2023-03-05,4,0,2,64,0
2023-03-12,4,0,2,61,0
2023-03-19,4,0,2,71,0
2023-03-26,5,0,1,75,1
2023-04-02,5,0,2,95,0
2023-04-09,5,0,1,70,0
2023-04-16,5,0,2,75,1
2023-04-23,6,0,2,75,1
2023-04-30,5,0,2,80,0
2023-05-07,8,0,2,75,0
2023-05-14,8,1,3,80,0
2023-05-21,5,0,2,93,1
2023-05-28,7,0,1,75,0
2023-06-04,7,0,2,75,0
2023-06-11,7,0,2,89,2
2023-06-18,5,0,1,83,0
2023-06-25,8,0,1,84,0
2023-07-02,5,0,2,80,1
2023-07-09,3,0,1,75,0
2023-07-16,2,0,0,82,1
2023-07-23,3,0,1,86,0
2023-07-30,5,0,2,67,1
2023-08-06,7,0,2,73,1
2023-08-13,4,0,1,74,1
2023-08-20,4,0,2,80,0
2023-08-27,6,0,1,82,0
2023-09-03,5,0,1,76,0
2023-09-10,6,0,2,84,1
2023-09-17,5,0,2,81,0
2023-09-24,6,0,2,80,0
2023-10-01,7,0,1,68,0
2023-10-08,5,0,2,77,1
2023-10-15,8,0,1,71,0
2023-10-22,8,1,2,61,0
2023-10-29,5,0,6,72,1
2023-11-05,6,0,1,71,1
2023-11-12,7,0,2,68,0
2023-11-19,5,0,1,63,1
2023-11-26,6,0,0,68,1
2023-12-03,3,0,1,80,1
2023-12-10,3,0,0,70,0
2023-12-17,1,0,0,87,0
2023-12-24,0,0,0,83,1
2023-12-31,0,0,0,75,1
2024-01-07,0,0,1,78,0
2024-01-14,0,0,0,83,0
2024-01-21,2,0,0,87,1
2024-01-28,1,0,0,72,0
2024-02-04,2,0,0,64,0
2024-02-11,0,0,0,79,0
2024-02-18,3,0,0,70,2
2024-02-25,3,0,0,71,0
2024-03-03,2,0,0,66,0
2024-03-10,3,0,0,68,1
2024-03-17,3,0,0,75,1
2024-03-24,3,0,0,97,2
2024-03-31,3,0,0,73,0
2024-04-07,4,0,0,67,0
2024-04-14,4,0,1,73,1
2024-04-21,4,0,1,74,1
2024-04-28,3,0,2,90,0
2024-05-05,4,0,0,85,1
2024-05-12,4,0,0,76,0
2024-05-19,5,0,0,81,2
2024-05-26,5,0,1,83,1
2024-06-02,6,0,0,77,2
2024-06-09,6,0,0,76,1
2024-06-16,4,0,0,86,2
2024-06-23,4,0,0,77,1
2024-06-30,4,0,0,72,2
2024-07-07,2,0,0,80,2
2024-07-14,1,0,0,85,2
2024-07-21,2,0,0,85,2
2024-07-28,5,0,0,80,1
2024-08-04,4,0,0,74,2
2024-08-11,4,0,2,79,2
2024-08-18,4,0,1,78,1
2024-08-25,5,0,1,81,0
2024-09-01,4,0,1,72,0
2024-09-08,4,0,2,79,2
2024-09-15,5,0,2,78,2
